track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,,mode,speechiness,tempo,time_signature,track_href,,valence,,,
Come with Me Now,0.0311,0.654,211960,0.726,2kWowW0k4oFymhkr7LmvzO,6.35E-05,10,0.0618,-3.803,,0,0.0401,103.987,4,https://api.spotify.com/v1/tracks/2kWowW0k4oFymhkr7LmvzO,,0.728,,,
Classic,0.0384,0.72,175426,0.791,6FE2iI43OZnszFLuLtvvmg,0,1,0.157,-4.689,,1,0.124,102.071,4,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,,0.756,,,
Pompeii,0.0755,0.679,214147,0.715,3gbBpTdY8lnQwqxNCcf795,0,9,0.271,-6.383,,1,0.0407,127.435,4,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,,0.571,,,
This Is How We Roll,0.016,0.555,220906,0.931,2TR7A4ulH9R1PNwMyd8o8U,0,8,0.405,-2.969,,1,0.0367,132.085,4,https://api.spotify.com/v1/tracks/2TR7A4ulH9R1PNwMyd8o8U,,0.723,,,
Ain't It Fun,0.154,0.61,296520,0.893,1j8z4TTjJ1YOdoFEDwJTQa,4.41E-05,9,0.021,-3.681,,1,0.0921,104.031,4,https://api.spotify.com/v1/tracks/1j8z4TTjJ1YOdoFEDwJTQa,,0.673,,,
Trumpets,0.555,0.635,217419,0.691,5KONnBIQ9LqCxyeSPin26k,0,0,0.097,-4.862,,1,0.258,82.142,4,https://api.spotify.com/v1/tracks/5KONnBIQ9LqCxyeSPin26k,,0.638,,,
Not a Bad Thing,0.527,0.308,688453,0.563,3nB82yGjtbQFSU0JLAwLRH,4.58E-06,0,0.134,-9.169,,1,0.0719,85.901,4,https://api.spotify.com/v1/tracks/3nB82yGjtbQFSU0JLAwLRH,,0.109,,,
Best Day Of My Life,0.0629,0.673,194240,0.902,5Hroj5K7vLpIG4FNCRIjbP,0.000174,2,0.0552,-2.378,,1,0.0347,100.016,4,https://api.spotify.com/v1/tracks/5Hroj5K7vLpIG4FNCRIjbP,,0.521,,,
Everything I Didn't Say,0.0173,0.378,180421,0.914,6s74UWM63X9K3koAfU9KUl,0,9,0.281,-4.656,,1,0.0955,174.94,4,https://api.spotify.com/v1/tracks/6s74UWM63X9K3koAfU9KUl,,0.383,,,
Let It Go,0.818,0.546,260533,0.311,13HVjjWUZFaWilh2QUJKsP,1.65E-05,1,0.107,-10.396,,1,0.0288,147.464,4,https://api.spotify.com/v1/tracks/13HVjjWUZFaWilh2QUJKsP,,0.246,,,
Timber,0.0295,0.581,204160,0.963,3cHyrEgdyYRjgJKSOiOtcS,0,11,0.139,-4.087,,1,0.0981,129.992,4,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,,0.788,,,
Afire Love,0.464,0.552,314280,0.637,12B0Twa9kRz45Xw2PgXHJm,1.63E-05,5,0.136,-6.568,,1,0.0445,97.97,4,https://api.spotify.com/v1/tracks/12B0Twa9kRz45Xw2PgXHJm,,0.333,,,
Demons,0.19,0.505,175200,0.71,3LlAyCYU26dvFZBDUIMb7a,0.00025,3,0.329,-3.015,,1,0.0321,89.938,4,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,,0.428,,,
Bottoms Up,0.143,0.479,220199,0.87,477pWnF7WFWb9Qs6g8rs4J,0,7,0.129,-5.739,,1,0.0442,170.047,4,https://api.spotify.com/v1/tracks/477pWnF7WFWb9Qs6g8rs4J,,0.537,,,
Story of My Life,0.225,0.6,245493,0.663,4nVBt6MZDDP6tRVdQTgxJg,0,3,0.119,-5.802,,1,0.0477,121.07,4,https://api.spotify.com/v1/tracks/4nVBt6MZDDP6tRVdQTgxJg,,0.286,,,
Partition,0.0296,0.412,319466,0.441,5hgnY0mVcVetszbb85qeDg,0.0726,11,0.306,-11.523,,0,0.291,185.571,4,https://api.spotify.com/v1/tracks/5hgnY0mVcVetszbb85qeDg,,0.174,,,
Let Her Go,0.365,0.479,252733,0.545,6GmUVqe73u5YRfUUynZK6I,0,7,0.0963,-7.346,,1,0.0688,74.897,4,https://api.spotify.com/v1/tracks/6GmUVqe73u5YRfUUynZK6I,,0.244,,,
Slave to the Rhythm,0.146,0.739,255986,0.96,4h5KB1btt2aZBq9EJHmWF4,3.68E-05,1,0.38,-2.293,,1,0.0581,125.02,4,https://api.spotify.com/v1/tracks/4h5KB1btt2aZBq9EJHmWF4,,0.722,,,
Headlights,0.152,0.688,343032,0.782,222dTwr5XeEgAzEtsrQA0R,0,11,0.803,-3.683,,1,0.158,146.324,4,https://api.spotify.com/v1/tracks/222dTwr5XeEgAzEtsrQA0R,,0.453,,,
Party Monster,0.188,0.572,249213,0.631,4F7A0DXBrmUAkp32uenhZt,2.31E-05,1,0.259,-8.389,,1,0.104,77.519,4,https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt,,0.219,,,
Animals,0.000185,0.279,231013,0.742,2bL2gyO6kBdLkNSkxXNh6x,0,4,0.593,-6.46,,0,0.0898,189.868,4,https://api.spotify.com/v1/tracks/2bL2gyO6kBdLkNSkxXNh6x,,0.328,,,
Hey Brother,0.0279,0.537,255093,0.777,4RXpgGM7A4Hg7cFBoH5KyF,6.12E-05,7,0.0838,-4.829,,0,0.0473,124.943,4,https://api.spotify.com/v1/tracks/4RXpgGM7A4Hg7cFBoH5KyF,,0.427,,,
Royals,0.106,0.616,190185,0.432,2dLLR6qlu5UJ5gk0dKz0h3,0,7,0.132,-9.546,,1,0.133,84.778,4,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,,0.302,,,
Say Something,0.857,0.407,229400,0.147,6Vc5wAMmXdKIAM7WUoEb7N,2.89E-06,2,0.0913,-8.822,,1,0.0355,141.284,3,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,,0.0765,,,
Radioactive,0.106,0.448,186813,0.784,4G8gkOterJn0Ywt6uhqbhp,0.000108,9,0.668,-3.686,,1,0.0627,136.245,4,https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp,,0.236,,,
My Hitta,0.13,0.752,236093,0.509,5G47DlluL671zo0k3OhoSm,0,10,0.141,-6.794,,0,0.141,85.5,4,https://api.spotify.com/v1/tracks/5G47DlluL671zo0k3OhoSm,,0.648,,,
Roar,0.00487,0.554,223546,0.772,6F5c58TMEs1byxUstkzVeM,6.60E-06,7,0.354,-4.821,,0,0.0418,179.984,4,https://api.spotify.com/v1/tracks/6F5c58TMEs1byxUstkzVeM,,0.455,,,
Brave,0.00502,0.551,220573,0.836,6Uy6K3KdmUdAfelUp0SeXn,2.10E-05,10,0.0425,-3.838,,0,0.0524,185.063,4,https://api.spotify.com/v1/tracks/6Uy6K3KdmUdAfelUp0SeXn,,0.758,,,
Wrecking Ball,0.407,0.53,221360,0.422,2vwlzO0Qp8kfEtzTsCXfyE,0,5,0.107,-6.262,,1,0.0342,119.964,4,https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE,,0.349,,,
"Hold On, We're Going Home",0.00415,0.776,227880,0.413,14Rcq31SafFBHNEwXrtR2B,2.68E-05,6,0.0724,-7.438,,0,0.0952,100.003,4,https://api.spotify.com/v1/tracks/14Rcq31SafFBHNEwXrtR2B,,0.287,,,
Blurred Lines,0.00373,0.862,263826,0.608,0n4bITAu0Y0nigrz3MFJMb,6.14E-06,7,0.0856,-4.762,,1,0.0402,120.002,4,https://api.spotify.com/v1/tracks/0n4bITAu0Y0nigrz3MFJMb,,0.836,,,
We Might Be Dead by Tomorrow,0.966,0.386,161413,0.151,2yxpMD9Fopz8FZEDSHRYy8,0.000897,7,0.119,-16.492,,1,0.0388,143.456,4,https://api.spotify.com/v1/tracks/2yxpMD9Fopz8FZEDSHRYy8,,0.0825,,,
Sail,0.452,0.825,259102,0.435,5xhQChGGhKLWqBqX4XhtYE,0.609,1,0.0953,-9.582,,1,0.0568,119.038,4,https://api.spotify.com/v1/tracks/5xhQChGGhKLWqBqX4XhtYE,,0.243,,,
Chillin' It,0.511,0.576,196746,0.849,0Utg7sirTPqrs6Cx0FbriQ,3.89E-05,9,0.109,-3.057,,1,0.0386,137.982,4,https://api.spotify.com/v1/tracks/0Utg7sirTPqrs6Cx0FbriQ,,0.666,,,
23,0.000366,0.863,252520,0.605,20FZrLl9zSbO9b3DhaqO6M,3.71E-06,2,0.132,-5.231,,1,0.0572,140.031,4,https://api.spotify.com/v1/tracks/20FZrLl9zSbO9b3DhaqO6M,,0.327,,,
Safe And Sound,0.000194,0.656,192789,0.821,6Z8R6UsFuGXGtiIxiD8ISb,0.00232,0,0.101,-4.838,,1,0.0325,117.948,5,https://api.spotify.com/v1/tracks/6Z8R6UsFuGXGtiIxiD8ISb,,0.791,,,
Sweater Weather,0.0495,0.612,240400,0.807,2QjOHCTQ1Jl3zawyYOpxh6,0.0177,10,0.101,-2.81,,1,0.0336,124.053,4,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,,0.398,,,
Whatever She's Got,0.217,0.527,236800,0.723,4PJXT82AZtlDW4Q71b43oz,0,1,0.037,-6.134,,1,0.0411,160.465,4,https://api.spotify.com/v1/tracks/4PJXT82AZtlDW4Q71b43oz,,0.888,,,
Stay The Night - Featuring Hayley Williams Of Paramore,0.109,0.596,217346,0.738,2QtJA4gbwe1AcanB2p21aP,0,8,0.0947,-3.109,,1,0.0411,127.961,4,https://api.spotify.com/v1/tracks/2QtJA4gbwe1AcanB2p21aP,,0.461,,,
Applause,0.0265,0.669,212333,0.78,2Zj4FUsMtu9PMuJsHbGbdv,1.63E-06,7,0.143,-4.287,,0,0.053,139.945,4,https://api.spotify.com/v1/tracks/2Zj4FUsMtu9PMuJsHbGbdv,,0.738,,,
Gas Pedal,0.0272,0.846,208160,0.538,2ng5lhEsASy6jgbOLg877a,0,1,0.123,-8.059,,1,0.0576,97.536,4,https://api.spotify.com/v1/tracks/2ng5lhEsASy6jgbOLg877a,,0.441,,,
Holy Grail,0.263,0.735,238988,0.484,5v8PGL6YlOmVeT51aH7skE,0,2,0.364,-5.322,,0,0.0513,145.069,4,https://api.spotify.com/v1/tracks/5v8PGL6YlOmVeT51aH7skE,,0.0616,,,
That's My Kind Of Night,0.0626,0.66,190186,0.754,5HGibWoxnkYSkl6mHmAlOE,0,4,0.1,-2.84,,0,0.051,110.02,4,https://api.spotify.com/v1/tracks/5HGibWoxnkYSkl6mHmAlOE,,0.899,,,
Who Do You Love?,0.0281,0.676,233506,0.415,1uDjaezEbalGyGnuH80zDK,0,9,0.0915,-9.752,,1,0.508,193.206,4,https://api.spotify.com/v1/tracks/1uDjaezEbalGyGnuH80zDK,,0.146,,,
Summertime Sadness,0.0542,0.565,265427,0.654,2dBwB667LHQkLhdYlwLUZK,1.80E-06,1,0.122,-6.826,,0,0.0335,111.968,4,https://api.spotify.com/v1/tracks/2dBwB667LHQkLhdYlwLUZK,,0.235,,,
Somebody That I Used To Know - feat. Kimbra,0.565,0.857,244973,0.517,4wCmqSrbyCgxEXROQE6vtV,0.000195,0,0.102,-6.972,,1,0.0384,129.063,4,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,,0.754,,,
Roller Coaster,0.0338,0.599,259079,0.756,5r00wpsojd4mBYaQFDvni7,2.06E-05,8,0.174,-4.457,,1,0.0363,107.995,4,https://api.spotify.com/v1/tracks/5r00wpsojd4mBYaQFDvni7,,0.282,,,
We Can't Stop,0.00882,0.613,231240,0.622,2y4lAQpi5VTNLu2ldeTdUH,0,1,0.37,-5.794,,0,0.0334,80.003,4,https://api.spotify.com/v1/tracks/2y4lAQpi5VTNLu2ldeTdUH,,0.484,,,
Still Into You,0.0098,0.602,216013,0.923,1yjY7rpaAQvKwpdUliHx0d,0,5,0.0561,-3.763,,1,0.044,136.01,4,https://api.spotify.com/v1/tracks/1yjY7rpaAQvKwpdUliHx0d,,0.765,,,
It Goes Like This,0.117,0.543,186080,0.837,6GsAD8PgHxmEuIPTG8GP3M,0,11,0.0872,-6.448,,1,0.0608,168.056,4,https://api.spotify.com/v1/tracks/6GsAD8PgHxmEuIPTG8GP3M,,0.506,,,
Can't Hold Us - feat. Ray Dalton,0.0291,0.641,258342,0.922,3bidbhpOYeV4knp8AIu8Xn,0,2,0.0862,-4.457,,1,0.0786,146.078,4,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,,0.847,,,
Clarity,0.0398,0.509,271426,0.781,60wwxj6Dd9NJlirf84wr2c,0,8,0.0749,-3.48,,1,0.072,128,4,https://api.spotify.com/v1/tracks/60wwxj6Dd9NJlirf84wr2c,,0.176,,,
Crooked Smile,0.433,0.607,278573,0.784,6JG0qhINKVwiHxqN85j7RG,0,7,0.689,-6.293,,1,0.268,81.004,4,https://api.spotify.com/v1/tracks/6JG0qhINKVwiHxqN85j7RG,,0.482,,,
Venus,0.0267,0.811,233720,0.895,6mWIBbMx3BCgeqo7RvLuDP,0,5,0.104,-4.304,,0,0.0608,121.01,4,https://api.spotify.com/v1/tracks/6mWIBbMx3BCgeqo7RvLuDP,,0.736,,,
Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,0.052,0.871,128013,0.442,6mH3qVIeOsnQIAho5eWwhH,0.00819,0,0.0381,-8.766,,1,0.0958,129.964,4,https://api.spotify.com/v1/tracks/6mH3qVIeOsnQIAho5eWwhH,,0.769,,,
"Sweeter Than Fiction - From ""One Chance"" Soundtrack",0.00164,0.71,237640,0.614,0RFCHlNuTeUHIB36VuVbOL,0.000154,6,0.0785,-6.965,,1,0.0366,135.012,4,https://api.spotify.com/v1/tracks/0RFCHlNuTeUHIB36VuVbOL,,0.673,,,
Just Give Me a Reason,0.346,0.778,242733,0.547,4VC5nFbYO4avKksJ9jN4pY,0.000302,2,0.132,-7.273,,1,0.0489,95.002,4,https://api.spotify.com/v1/tracks/4VC5nFbYO4avKksJ9jN4pY,,0.441,,,
Treasure,0.0412,0.874,178560,0.692,55h7vJchibLdUkxdlX3fK7,7.24E-05,5,0.324,-5.28,,0,0.0431,116.017,4,https://api.spotify.com/v1/tracks/55h7vJchibLdUkxdlX3fK7,,0.937,,,
Cruise,0.0191,0.457,208960,0.948,0i5el041vd6nxrGEU8QRxy,0,10,0.0536,-3.364,,1,0.0354,148,4,https://api.spotify.com/v1/tracks/0i5el041vd6nxrGEU8QRxy,,0.878,,,
How To Be A Heartbreaker,0.0142,0.69,221493,0.897,2Ow4Pmi0VOOLvbmJ8V70qo,0,11,0.108,-4.696,,0,0.0506,140.05,4,https://api.spotify.com/v1/tracks/2Ow4Pmi0VOOLvbmJ8V70qo,,0.849,,,
Hey Pretty Girl,0.145,0.291,215920,0.4,75p6fgACKYIyIhsoG411SZ,1.86E-05,2,0.259,-10.615,,1,0.0306,83.112,1,https://api.spotify.com/v1/tracks/75p6fgACKYIyIhsoG411SZ,,0.0935,,,
I Need Your Love (feat. Ellie Goulding),0.41,0.695,234506,0.869,05SBRd4fXgn8FX7bf8BCAE,0,8,0.237,-5.066,,1,0.0483,124.989,4,https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE,,0.58,,,
Same Old Love,0.0223,0.672,229080,0.593,1BZG99C7Co1r6QUC3zaS59,0,11,0.214,-4.01,,0,0.0304,98.02,4,https://api.spotify.com/v1/tracks/1BZG99C7Co1r6QUC3zaS59,,0.438,,,
Walking On Air,0.00144,0.631,222448,0.908,0RCsGhR44nFVAd5WiZZcGq,0,6,0.23,-4.842,,0,0.0391,128.027,4,https://api.spotify.com/v1/tracks/0RCsGhR44nFVAd5WiZZcGq,,0.821,,,
Thrift Shop (feat. Wanz),0.0619,0.781,235613,0.526,4YMqbFcDIFiCBd02PzUBcM,0,6,0.0457,-6.985,,0,0.293,94.992,4,https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM,,0.662,,,
Play It Again,0.0832,0.51,226866,0.898,03fT3OHB9KyMtGMt2zwqCT,0,11,0.071,-3.15,,1,0.0696,144.056,4,https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT,,0.596,,,
Oh Sweet Lorraine (feat. Jacob Colgan & Fred Stobaugh),0.00473,0.549,119000,0.317,0byFa7HDKamSnzxMPEF6dj,0.0308,7,0.0955,-11.473,,1,0.0299,117.894,4,https://api.spotify.com/v1/tracks/0byFa7HDKamSnzxMPEF6dj,,0.196,,,
Power Trip,0.322,0.667,241160,0.61,7FOJvA3PxiIU0DN3JjQ7jT,0.000203,1,0.426,-7.054,,1,0.217,99.991,4,https://api.spotify.com/v1/tracks/7FOJvA3PxiIU0DN3JjQ7jT,,0.465,,,
I Want Crazy - Encore,0.0539,0.562,236865,0.878,2tC3NZsLgXr9CXvOKon19c,0,8,0.112,-4.806,,1,0.0387,103.029,4,https://api.spotify.com/v1/tracks/2tC3NZsLgXr9CXvOKon19c,,0.558,,,
Boys 'Round Here (feat. Pistol Annies & Friends),0.251,0.611,288760,0.688,39FwE8edwuyiaa4PrGBkP7,2.35E-06,2,0.248,-6.369,,1,0.0529,169.895,4,https://api.spotify.com/v1/tracks/39FwE8edwuyiaa4PrGBkP7,,0.649,,,
When I Was Your Man,0.932,0.612,213826,0.28,0nJW01T7XtvILxQgC5J7Wh,0,0,0.088,-8.648,,1,0.0434,72.795,4,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,,0.387,,,
Ho Hey,0.794,0.685,163133,0.466,0W4Kpfp1w2xkY3PrV714B7,2.06E-06,0,0.0915,-9.074,,1,0.0304,79.936,4,https://api.spotify.com/v1/tracks/0W4Kpfp1w2xkY3PrV714B7,,0.353,,,
My Songs Know What You Did In The Dark (Light Em Up),0.0271,0.558,186826,0.924,7s0lDK7y3XLmI7tcsRAbW0,3.32E-06,9,0.537,-4.341,,0,0.064,151.99,4,https://api.spotify.com/v1/tracks/7s0lDK7y3XLmI7tcsRAbW0,,0.567,,,
Wagon Wheel,0.456,0.529,298400,0.663,3xdjjKMcMOFgo1eQrfbogM,0,9,0.142,-7.138,,1,0.0306,148.102,4,https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM,,0.592,,,
"Bitch, Don’t Kill My Vibe",0.0152,0.587,310720,0.698,712uvW1Vezq8WpQi38v2L9,0,1,0.442,-8.948,,1,0.0943,133.954,4,https://api.spotify.com/v1/tracks/712uvW1Vezq8WpQi38v2L9,,0.0985,,,
Feel This Moment,0.039,0.673,229506,0.758,0Hf4aIJpsN4Os2f0y0VqWl,0,7,0.341,-3.632,,1,0.158,135.956,4,https://api.spotify.com/v1/tracks/0Hf4aIJpsN4Os2f0y0VqWl,,0.542,,,
Started From The Bottom,0.0328,0.794,174133,0.522,6V2D8Lls36APk0THDjBDfE,0,8,0.156,-7.829,,1,0.159,86.318,4,https://api.spotify.com/v1/tracks/6V2D8Lls36APk0THDjBDfE,,0.567,,,
Suit & Tie,0.103,0.795,326280,0.596,6vt0I1cw1YmAIKDJvHVIM5,0,11,0.164,-3.799,,0,0.219,101.985,4,https://api.spotify.com/v1/tracks/6vt0I1cw1YmAIKDJvHVIM5,,0.357,,,
I Knew You Were Trouble.,0.00563,0.596,217973,0.473,72jCZdH0Lhg93z6Z4hBjgj,1.29E-06,6,0.043,-6.745,,1,0.039,154.228,4,https://api.spotify.com/v1/tracks/72jCZdH0Lhg93z6Z4hBjgj,,0.648,,,
Locked Out Of Heaven,0.049,0.726,233478,0.698,3w3y8KPTfNeOKPiqUTakBh,0,5,0.309,-4.165,,1,0.0431,143.994,4,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,,0.867,,,
Give It All We Got Tonight,0.26,0.588,251333,0.642,19PJ75UGKjpBo0muDNyxPW,2.37E-06,7,0.08,-6.986,,1,0.0266,130.36,4,https://api.spotify.com/v1/tracks/19PJ75UGKjpBo0muDNyxPW,,0.324,,,
Scream & Shout,0.019,0.772,283400,0.685,2iJuuzV8P9Yz0VSurttIV5,8.96E-05,5,0.131,-6.849,,1,0.0696,130.033,4,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,,0.501,,,
Sweet Nothing (feat. Florence Welch),0.197,0.573,212560,0.929,24LS4lQShWyixJ0ZrJXfJ5,0.000112,8,0.0567,-3.942,,0,0.109,127.934,4,https://api.spotify.com/v1/tracks/24LS4lQShWyixJ0ZrJXfJ5,,0.582,,,
Don't You Worry Child - Radio Edit,0.112,0.612,212862,0.84,2V65y3PX4DkRhy1djlxd9p,0,11,0.116,-3.145,,0,0.0509,129.042,4,https://api.spotify.com/v1/tracks/2V65y3PX4DkRhy1djlxd9p,,0.438,,,
F**kin' Problems,0.0208,0.869,233786,0.687,4XoP1AkbOurU9CeZ2rMEz2,1.00E-06,1,0.114,-6.816,,1,0.263,96.006,4,https://api.spotify.com/v1/tracks/4XoP1AkbOurU9CeZ2rMEz2,,0.668,,,
I Will Wait,0.0103,0.481,276720,0.766,2JHBMVs8E7bJJBLkXpKgHn,0.0067,1,0.302,-5.208,,1,0.0334,131.143,4,https://api.spotify.com/v1/tracks/2JHBMVs8E7bJJBLkXpKgHn,,0.436,,,
Little Talks,0.0215,0.46,266600,0.786,3a2tuvXCHbW5nuUckuHkKT,0,1,0.133,-5.238,,1,0.038,103.192,4,https://api.spotify.com/v1/tracks/3a2tuvXCHbW5nuUckuHkKT,,0.408,,,
Catch My Breath,0.0251,0.692,250386,0.908,5qxPabNDnJQ551Tf4v6k3j,0,9,0.0933,-5.364,,1,0.0677,124.042,4,https://api.spotify.com/v1/tracks/5qxPabNDnJQ551Tf4v6k3j,,0.513,,,
Gangnam Style (강남스타일),0.0055,0.736,219493,0.939,03UrZgTINDqvnUMbbIMhql,0,11,0.0905,-2.812,,0,0.284,132.07,4,https://api.spotify.com/v1/tracks/03UrZgTINDqvnUMbbIMhql,,0.761,,,
One More Night,0.0563,0.71,219466,0.8,4XNrMwGx1SqP01sqkGTDmo,0,5,0.0834,-3.439,,0,0.0339,93.01,4,https://api.spotify.com/v1/tracks/4XNrMwGx1SqP01sqkGTDmo,,0.635,,,
Poetic Justice,0.157,0.779,300160,0.572,2P3SLxeQHPqh8qKB6gtJY2,0,6,0.246,-9.985,,0,0.378,135.956,4,https://api.spotify.com/v1/tracks/2P3SLxeQHPqh8qKB6gtJY2,,0.647,,,
Girl On Fire,0.135,0.482,224920,0.706,4esOae7i4rqTbAu9o5Pxco,0.00106,9,0.105,-5.762,,1,0.0609,92.494,4,https://api.spotify.com/v1/tracks/4esOae7i4rqTbAu9o5Pxco,,0.144,,,
Beauty And A Beat,0.000704,0.601,227986,0.843,190jyVPHYjAqEaOGmMzdyk,5.27E-05,0,0.0681,-4.87,,1,0.0593,128.002,4,https://api.spotify.com/v1/tracks/190jyVPHYjAqEaOGmMzdyk,,0.534,,,
Adorn,0.0543,0.625,193146,0.576,25cUhiAod71TIQSNicOaW3,4.07E-05,11,0.187,-5.693,,0,0.175,179.063,4,https://api.spotify.com/v1/tracks/25cUhiAod71TIQSNicOaW3,,0.235,,,
Hall of Fame,0.0653,0.421,202533,0.873,1X1DWw2pcNZ8zSub3uhlNz,0,10,0.123,-4.343,,1,0.0565,84.803,4,https://api.spotify.com/v1/tracks/1X1DWw2pcNZ8zSub3uhlNz,,0.63,,,
Some Nights,0.0178,0.672,277040,0.738,6t6oULCRS6hnI7rm0h5gwl,6.75E-05,0,0.0927,-7.045,,1,0.0506,107.938,4,https://api.spotify.com/v1/tracks/6t6oULCRS6hnI7rm0h5gwl,,0.392,,,
Skyfall - Full Length,0.417,0.346,286480,0.552,6VObnIkLVruX4UVyxWhlqm,0,0,0.114,-6.864,,0,0.0282,75.881,4,https://api.spotify.com/v1/tracks/6VObnIkLVruX4UVyxWhlqm,,0.0789,,,
Swimming Pools (Drank),0.00627,0.577,247800,0.447,6REbwUNlppTfcnV4d4ZoZi,0.00022,8,0.0899,-5.892,,1,0.277,74.236,4,https://api.spotify.com/v1/tracks/6REbwUNlppTfcnV4d4ZoZi,,0.189,,,
The A Team,0.669,0.642,258373,0.289,1VdZ0vKfR5jneCmWIUAMxK,0,9,0.18,-9.918,,1,0.0367,84.996,4,https://api.spotify.com/v1/tracks/1VdZ0vKfR5jneCmWIUAMxK,,0.407,,,
Let Me Love You (Until You Learn To Love Yourself),0.262,0.491,251626,0.676,1Ejsu5JglwIgrFW7Bt2GuL,0,5,0.499,-6.631,,1,0.0403,124.852,4,https://api.spotify.com/v1/tracks/1Ejsu5JglwIgrFW7Bt2GuL,,0.278,,,
Call Me Maybe,0.0123,0.778,193400,0.585,3TGRqZ0a2l1LRblBkJoaDx,0,7,0.108,-6.502,,1,0.0435,120.069,4,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,,0.626,,,
Clique,0.0534,0.66,293613,0.539,65rRB2mspD309xE6YimZTl,0,9,0.222,-5.947,,0,0.324,109.318,5,https://api.spotify.com/v1/tracks/65rRB2mspD309xE6YimZTl,,0.307,,,
No Worries,0.085,0.844,221000,0.592,2DLsQuwxEdXt2yp54vw355,0,5,0.0817,-5.486,,1,0.199,128.033,4,https://api.spotify.com/v1/tracks/2DLsQuwxEdXt2yp54vw355,,0.819,,,
Thinkin Bout You,0.41,0.716,200746,0.35,7DfFc7a6Rwfi3YQMRbDMau,0.00134,0,0.0927,-11.094,,1,0.0537,129.842,4,https://api.spotify.com/v1/tracks/7DfFc7a6Rwfi3YQMRbDMau,,0.178,,,
We Are Never Ever Getting Back Together,0.00995,0.622,191880,0.682,7AEAGTc8cReDqcbPoY9gwo,1.11E-05,7,0.112,-5.891,,1,0.113,86.035,4,https://api.spotify.com/v1/tracks/7AEAGTc8cReDqcbPoY9gwo,,0.781,,,
As Long As You Love Me,0.0807,0.571,229466,0.873,0pwYLVXVknPSGUQb39cePC,0,0,0.361,-3.382,,0,0.0997,139.691,4,https://api.spotify.com/v1/tracks/0pwYLVXVknPSGUQb39cePC,,0.613,,,
Blow Me (One Last Kiss),0.000145,0.597,255586,0.919,6LS6pltO7YBgjwNVhxMwtp,0,7,0.282,-2.954,,1,0.044,113.987,4,https://api.spotify.com/v1/tracks/6LS6pltO7YBgjwNVhxMwtp,,0.73,,,
Don't Wake Me Up,0.0548,0.602,222306,0.691,12Ns5IphkblPmHxpRILG9t,0,7,0.144,-5.197,,0,0.051,127.967,4,https://api.spotify.com/v1/tracks/12Ns5IphkblPmHxpRILG9t,,0.206,,,
Everybody Talks,0.00584,0.478,177280,0.915,3528IXKpbb7OMjdjWYlbfD,0,8,0.386,-3.858,,1,0.0652,154.955,4,https://api.spotify.com/v1/tracks/3528IXKpbb7OMjdjWYlbfD,,0.703,,,
Pop That,0.0684,0.734,303533,0.893,3Jv1XgMPVjdN5xGfnRJ20s,0,2,0.719,-1.847,,1,0.125,138.05,4,https://api.spotify.com/v1/tracks/3Jv1XgMPVjdN5xGfnRJ20s,,0.595,,,
Blown Away,0.0909,0.531,240133,0.843,0vFMQi8ZnOM2y8cuReZTZ2,0,9,0.0283,-2.569,,0,0.0429,136.991,4,https://api.spotify.com/v1/tracks/0vFMQi8ZnOM2y8cuReZTZ2,,0.392,,,
50 Ways to Say Goodbye,0.000284,0.591,247946,0.935,2NniAhAtkRACaMeYt48xlD,0.000278,6,0.142,-2.664,,1,0.0478,140.043,4,https://api.spotify.com/v1/tracks/2NniAhAtkRACaMeYt48xlD,,0.736,,,
Titanium (feat. Sia),0.069,0.599,245040,0.803,77TT8Xvx637TpzV8kKGkUw,0.137,0,0.129,-3.641,,0,0.0986,126.057,4,https://api.spotify.com/v1/tracks/77TT8Xvx637TpzV8kKGkUw,,0.233,,,
